"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"52","Cirrhosis (China, increase)","Streptococcus salivarius; Veillonella parvula; Veillonella atypica; Ruminococcus gnavus; Haemophilus parainfluenzae; Veillonella. 6 1 27; Veillonella. 3 1 44; Lachnospiraceae bacterium 2 1 58FAA; Veillonella dispar; Streptococcus parasanguinis; Veillonella. HOT 158; Lactobacilluslvarius; Streptococcus vestibularis; Streptococcus anginosus; Veillonella; Streptococcus; Prevotella; Haemophilus; Lactobacillus; Fusobacterium; Megasphaera","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25079328'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.552.630","215600","16S rRNA - Illumina MiSeq","Increase","1","Figure 1B","Homo Sapiens",114,"43±9","Gut (faecal)"
"53","Citrullin","Clostridium L2 50","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"54","Colorectal carcinogenesis (increase)","Bacteroides fragilis; Fusobacterium nucleatum; Porphyromonas asaccharolytica; Parvimonas micra; Prevotella intermedia; Alistipes finegoldii; Thermanaerovibrio acidaminovorans","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29642940'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - Whole genome sequencing, Illumina HiSeq","Increase","1","Figure 4","Homo Sapiens",271,"61.23±11.03","Gut (faecal)"
"55","Colorectal cancer (global signature)","Fusobacterium; Porphyromonas; Parvimonas; Peptostreptococcus; Gemella; Prevotella; Solobacterium; Dialister; Clostridiales","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30936547'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing",NA,"1","Figure 1","Homo Sapiens",575,NA,"Gut (faecal)"
"56","Colorectal cancer (early to late stages)","Fusobacterium nucleatum; Solobacterium moorei; Peptostreptococcus stomatis; Peptostreptococcus anaerobius; Lactobacillus sanfranciscensis; Parvimonas micra; Gemella morbillorum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31171880'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing","Increase","1","Extended Data Figure 5","Homo Sapiens",616,NA,"Gut (faecal)"
"57","Colorectal cancer (early stages)","Atopobium parvulum; Actinomyces odontolyticus; Desulfovibrio longreachensis; Phascolarctobacterium succinatutens","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31171880'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing","Increase","1","Extended Data Figure 5","Homo Sapiens",616,NA,"Gut (faecal)"
"58","Colorectal cancer (CRC) Austria","Acidaminococcus intestini; Actinomyces viscosus; Actinomyces viscosus; Alistipes finegoldii; Alistipes onderdonkii; Alistipes putredinis; Bacteroides caccae; Bacteroides dorei; Bacteroides eggerthii; Bacteroides massiliensis; Bacteroides ovatus; Bacteroides. 1_1_30; Bacteroides. 4_1_36; Bacteroides vulgatus; Bacteroides xylanisolvens; Bifidobacterium animalis; Bilophila wadsworthia; Burkholderiales bacterium 1_1_47; butyrate-producing bacterium SS3/4; Clostridium asparagiforme; Clostridium bolteae; Clostridium hathewayi; Clostridium. SS2/1; Clostridium symbiosum; Dialister invisus; Escherichiali; Fusobacterium.al taxon 370; Gemella morbillorum; Lachnospiraceae bacterium 3_1_46FAA; Lachnospiraceae bacterium 3_1_46FAA; Lachnospiraceae bacterium 3_1_57FAA_CT1; Lachnospiraceae bacterium 7_1_58FAA; Lachnospiraceae bacterium 7_1_58FAA; Odoribacter splanchnicus; Parabacteroides distasonis; Parabacteroides merdae; Parabacteroides merdae; Paraprevotella; Parvimonas micra; Peptostreptococcus stomatis; Porphyromonas somerae; Prevotella copri; Ruminococcaceae bacterium D16; Ruminococcus. 5_1_39BFAA; Streptococcus mutans; Streptococcus thermophilus; Sutterella wadsworthensis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25758642'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing","Increase","1","Figure 4","Homo Sapiens",156,"18-69","Gut (faecal)"
"59","Colorectal cancer (CRC) France","Fusobacterium nucleatum subsp. Vincentii; Fusobacterium nucleatum subsp. animalis; Peptostreptococcus stomatis; Porphyromonas asaccharolytica; Clostridium symbiosum; Clostridium hylemonae; Bacteroides fragilis; Lactobacillus salivarius; Fusobacterium gonidiaformans; Lactobacillus ruminis; Eubacterium rectale; Bacteroides caccae; Eubacterium ventriosum; Clostridiumindens; Eubacterium eligens; Bifidobacterium angulatum; Methanosphaera stadtmanae; Dorea formicigenerans; Butyrivibrio crossotus; Phascolarctobacterium cinatutens;  Ruminococcus; Streptococcus salivarius","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25432777'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing","Increase","1","Figure 4","Homo Sapiens",156,"18-69","Gut (faecal)"
"60","Colorectal cancer (CRC) Hong Kong and Denmark","Peptostreptococcus stomatis; Parvimonas micra; Parvimonas.al taxon 393; Parvimonas.al taxon 110; Gemella morbillorum; Fusobacterium nucleatum; Leptotrichia buccalis; Fusobacterium.al taxon 370; Burkholderia mallei; Prevotella intermedia; Streptococcus pseudoporcinus; Streptococcus dysgalactiae; Beggiatoa. PS; Malassezia bosa; Paracoccus denitrificans; Eubacterium ventriosum; Streptococcus stellatus; Filifactor alocis; Peptoniphilus indolicus; Crenothrix polyspora; Peptostreptococcus anaerobius; Streptococcus equi; Solobacterium moorei; Sulfurovum. SCGC AAA036-O23; Streptobacillus moniliformis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26408641'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","Shotgun Sequencing","Increase","1","Figure 4","Homo Sapiens",156,"18-69","Gut (faecal)"
"61","Colorectal Cancer (Tumorigenesis, decrease)","Prevotellaceae; Porphyromonadacea","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24194538'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Family",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - V3-V5 regions, Roche 454 FLX+","Decrease","1","Figure 3","C57BL/6 mice",24,"8 weeks","Gut (faecal)"
"62","Colorectal Cancer (Tumorigenesis, increase)","Bacteroides; Odoribacter; Akkermansia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24194538'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - V3-V5 regions, Roche 454 FLX+","Increase","1","Figure 3","C57BL/6 mice",24,"8 weeks","Gut (faecal)"
"63","Colorectal carcinogenesis (Carcinoma, decrease)","Escherichiali; Bacteroides; Faecalibacterium prausnitzii; Blautia; Pseudomonas veronii; Bacillales","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26515465'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - V1-V4 regions, Roche 454 platform","Decrease","1","Figure S9","Homo Sapiens",160,"67.85±13.18","Gut (mucosal)"
"64","Colorectal carcinogenesis (Carcinoma, increase)","Bacteroides fragilis; Fusobacterium; Granulicatella; Parvimonas; Peptostreptococcus; Oscillospira; Prevotella intermedia; Gemella; Aggregatibactergnis; Prevotella; Campylobacter; Porphyromonas endodontalis; Bacteroides ovatus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26515465'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - V1-V4 regions, Roche 454 platform","Increase","1","Figure S9","Homo Sapiens",160,"67.85±13.18","Gut (mucosal)"
"65","Colorectal carcinogenesis (decrease)","Ehrlichia ruminantium; Bartonella bacilliformis; Eubacterium eligens; Acinetobacter. ADP1; Mycoplasmanadense; Weissellabaria; Dictyoglomus thermophilum; Thermosipho africanus; Thermodesulfobacterium geofontis; Campylobacter iguaniorum; Spiroplasma diminutum; Candidatus; Phtoplasma australiense; Mycoplasma capricolum; Arcobacter. L; Streptococcus. I-G2; Staphylococcus argenteus; Streptococcus thermophilus; SR1 bacterium RAAC1; Streptococcus salivarius; Bifidobacterium catenulatum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29642940'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C04.588.274.476.411.307; C06.301.371.411.307; C06.405.249.411.307; C06.405.469.158.356; C06.405.469.491.307; C06.405.469.860.180","114500","16S rRNA - Whole genome sequencing, Illumina HiSeq","Decrease","1","Figure 4","Homo Sapiens",271,"61.23±11.03","Gut (faecal)"
"66","Colorectal Carcinoma (US and Vietnam, decrease)","Enterobacteroacae; Enterobacter; Acinetobacter; Acinetobacter baumannii; Faecalibacterium; Bacteroidaceae; Bacteroides; Ruminococcaceae; Bacteroidetes; Firmicutes; Clostridiales; Clostridia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/22009990'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.588.274.476.411.307.180; C06.301.371.411.307.180; C06.405.249.411.307.180; C06.405.469.158.356.180; C06.405.469.491.307.180","114500","16S rDNA - V3-V5 regions, Roche 454 FLX","Decrease","1","Figure 1C; Figure 2C","Homo Sapiens",95,NA,"Colorectal adenocarcinoma"
"67","Colorectal Carcinoma (US and Vietnam, increase)","Fusobacterium nucleatum; Fusobacterium; Fusobacteriaceae; Streptococcaceae; Aggregatibacter; Aggregibacter aphrophilus; Fusobacteriales; Fusobacteria","<a href='https://www.ncbi.nlm.nih.gov/pubmed/16267321'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.588.274.476.411.307.180; C06.301.371.411.307.180; C06.405.249.411.307.180; C06.405.469.158.356.180; C06.405.469.491.307.180","114500","16S rDNA - V3-V5 regions, Roche 454 FLX","Increase","1","Figure 1C; Figure 2C","Homo Sapiens",95,NA,"Colorectal adenocarcinoma"
"68","Constipation, Irritable bowel syndrome (IBS)","Veillonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/22009990'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.469.158.272.608",NA,"DNA - Real-Time PCR","Increase","1","Table 4","Homo Sapiens",49,"20-65","Gut (faecal)"
"69","Chronic Obstructive Pulmonary Disease (COPD)","Bacteroidetes; Haemophilus; Prevotella; Proteobacteria; Haemophilus; Pseudomonas; Burkholderia; Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C08.381.495.389",NA,"16S rRNA - Real-Time PCR","Increase","1","Figure 1","Homo Sapiens",43,"57 ± 12.3","Nasal"
"70","Core Microbiome (Airway)","Actinobacillus ureae ATCC 25976; Bacteroidetesal taxon 274 F0058; Achromobacter piechaudii ATCC 43553; Achromobacter xylosoxidans C54; Acinetobacter haemolyticus ATCC 19194; Anaeroglobusminatus F0357; Brevundimonas diminuta 470-4; Klebsiella pneumoniae rhinoscleromatis ATCC 13884; Neisseria meningitidis. B ATCC 13091; Pasteurella dagmatis ATCC 43325; Staphylococcus aureus aureus ATCC 51811; Staphylococcus aureus aureus ATCC BAA-39; Streptococcus anginosus F0211; Streptococcus infantis SK959, GTC 849; Neisseria.al taxon 020 F0370; Neisseria bacilliformis ATCC BAA-1200; Neisseria wadsworthii 9715; Neisseriaayeganii 871; Turicibacter. HGF1; Streptococcus infantis SK959, GTC 849; Streptococcus parasanguinis F0405","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Airways"
"71","Core Microbiome Appendix","Bacteroides salyersiae WAL 10018, DSM 18765, JCM 12988","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Appendix"
"72","Core Microbiome Gut (faecal)","Acinetobacter junii SH205; Aneurinibacillus aneurinilyticus ATCC 12856; Pseudoflavonifractorpillosus ATCC 29799; Bacteroides cellulosilyticus DSM 14838; Bacteroidesprophilus DSM 18228, JCM 13818; Bacteroides ovatus ATCC 8483; Bacteroides. 1_1_6; Parabacteroides. 2_1_7; Bacteroides. 2_2_4; Bacteroides. 3_2_5; Bacteroides. 4_3_47FAA; Bacteroides. 9_1_42FAA; Bacteroides. D1; Bacteroides. D2; Bacteroides dorei 5_1_36/D4; Parabacteroides merdae ATCC 43184; Bifidobacterium breve DSM 20213, JCM 1192; Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043; Citrobacter.; Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043; Paenibacillus. 4_7_47FAA; Parabacteroides goldsteinii WAL 12034; Citrobactereundii 4_7_47CFAA; Megamonasniformis YIT 11815; Porphyromonas. 31_2; Ralstonia. 5_7_47FAA","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Gut (faecal)"
"73","Core Microbiome Gut (Intestinal microflora)","Gardnerella vaginalis JCM 11026; Enterococcus faecalis TUSoD Ef11; Enterococcus faecium PC4.1; Actinomycesontolyticus ATCC 17982; Actinomycesontolyticus C702; Lactobacillus salivarius HO66, ATCC 11741; Actinomycesontolyticus F0309; Actinomyces.al taxon 848 F0332; Parvimonas micra ATCC 33270; Acidaminococcus. D21; Bacteroides caccae ATCC 43185; Bifidobacteriumllicum DSM 20093, LMG 11596; Escherichiali 83972; Faecalibacterium prausnitzii A2-165; Klebsiella. 1_1_55; Lactobacillus helveticus DSM 20075; Methanobrevibacter smithii DSM 2375; Bacteroides. A01; Bifidobacterium breve DSM 20213, JCM 1192; Clostridium innocuum JCM 1292; Coprococcus comes SL7/1; Escherichiali SE11; Roseburiaecis 11SE37; Roseburiaecis CC123; Roseburia intestinalis XB6B4; Alistipes shahii WAL 8301; Bacteroides. D20; Clostridium innocuum 6_1_30; Clostridium. 1_1_41A1FAA; Lachnospiraceae bacterium 6_1_63FAA; Synergistes. 3_1_syn1; Bacteroides. 4_1_36; Anaerostipes. 3_2_56FAA; Bacillus. BT1B_CT2; Bacillus. 7_6_55CFAA_CT2; Bacillusithii 7_3_47FAA; Bacteroides eggerthii 1_2_48FAA; Bacteroides ovatus 3_8_47FAA; Bacteroides. 2_1_56FAA; Campylobacter. 10_1_50; Clostridium. 7_3_54FAA; Lactobacillus. 7_1_47FAA; Peptococcus. 2_1_54CFAA_CT1; Pseudomonas. 2_1_26; Subdoligranulum. 6_1_47FAA; Subdoligranulum. 4_3_54A2FAA; Tannerella. 6_1_58FAA_CT1; Bacteroides. 1_1_14; Bacteroides. 20_3; Bacteroides. 3_1_13; Bacteroides. 3_1_23; Bacteroides. 3_1_40A; Bacteroidetes bacteriumal taxon 272 F0290; Pediococcus acidilactici 7_4; Enterobacteroacaeoacae NCTC 9394; Clostridiumostridioforme JCM 1291; Clostridium. HGF2; Paenibacillus. HGF5; Paenibacillus. HGF7; Neisseria macacae ATCC 33926; Acidaminococcus. 4_1_13_G; Barnesiella intestinihominis YIT 11860; Sutterella wadsworthensis 2_1_59BFAA; Fusobacterium necrophorumnduliforme 1_1_36S; Enterococcus saccharolyticus 30_1; Bacteroides ovatus SD CMC 3f; Bacteroides ovatus SD CC 2a; Alistipes. HGB5; Alistipes putredinis DSM 17216; Alistipes. 10_1_37FAA; Anaerococcus hydrogenalis DSM 7454; Anaerofustisercorihominis DSM 17244; Anaerostipesccae DSM 14662; Clostridium bolteae ATCC BAA-613; Clostridium. L2-50; Clostridium hathewayi DSM 13479; Clostridium hiranonis TO-931 DSM 13275; Clostridium hylemonae DSM 15053; Clostridium. SS2/1; Clostridium leptum DSM 753; Clostridium methylpentosum R2, DSM 5476; Clostridium nexile DSM 1787; Clostridium. A2-232; Clostridium M62/1; Clostridiumindens ATCC 35704; Clostridiumiroforme DSM 1552; Clostridiumorogenes ATCC 15579; Clostridium symbiosum ATCC 14940; Collinsella aerofaciens ATCC 25986; Coprococcus comes ATCC 27758; Coprococcus eutactus ATCC 27759; Desulfovibrio piger GOR1; Dorea formicigenerans ATCC 27755; Dorea longicatena DSM 13814; Edwardsiella tarda ATCC 23685; Eubacterium biforme DSM 3989; Eubacterium. L2-7, DSM 17630; Eubacterium hallii DSM 3353; Flavonifractor plautii ATCC 29863; Eubacterium ventriosum ATCC 27560; Faecalibacterium prausnitzii M21/2; Methanobrevibacter smithii F1, DSM 2374; Mitsuokella multacida DSM 20544; Proteus penneri ATCC 35198; Providencia alcalifaciens. 019:H2 DSM 30120; Providencia rettgeri DSM 1131; Providencia rustigianii DSM 4541; Providenciauartii ATCC 25827; Ruminococcus callidus ATCC 27760; Ruminococcus gnavus ATCC 29149; Blautia hydrogenotrophica DSM 10507; Ruminococcus lactaris ATCC 29176; Blautia obeum ATCC 29174; Ruminococcus torques ATCC 27756; Streptococcus infantarius infantarius ATCC BAA-102; Subdoligranulum variabile DSM 15176; Enterobacterncerogenus ATCC 35316; Coprococcus catus GD/7; Coprococcus. ART55/1; Escherichiali O150:H5 SE15; Roseburia intestinalis M50/1; Succinatimonas hippei YIT 12066; Bacteroidesarus YIT 12056; Bacteroidesuxus YIT 12057; Bacteroideseiciplenus YIT 12058; Alistipes indistinctus YIT 12060; Dialisterccinatiphilus YIT 11850; Streptococcus anginosus 1_2_62CV; Clostridiumbiscindens 1_3_50AFAA; Clostridiumostridioforme 2_1_49FAA; Clostridium aldenense WAL-18727; Clostridiumtroniae WAL-17108; Clostridiumtroniae WAL-19142; Clostridiumostridioforme WAL-7855; Clostridium bolteae WAL-14578; Clostridium hathewayi WAL-18680; Clostridium symbiosum WAL-14163; Clostridium symbiosum WAL-14673; Clostridium perfringens WAL-14572; Bacteroides intestinalis 341, DSM 17393; Anaerotruncuslihominis DSM 17241; Bacteroides coprocola M16, DSM 17136; Bacteroides dorei DSM 17855; Bacteroides eggerthii DSM 20697; Bacteroides finegoldii DSM 17565; Bacteroides pectinophilus ATCC 43243; Bacteroides plebeius M12, DSM 17135; Bacteroides. 1_1_30; Bacteroides stercoris ATCC 43183; Bifidobacterium adolescentis L2-32; Bifidobacterium angulatum DSM 20098; Bifidobacterium bifidum ATCC 29521; Bifidobacterium bifidum NCIMB 41171; Bifidobacterium dentium ATCC 27678; Bifidobacterium longum longum ATCC 55813; Bilophila. 4_1_30; Bilophila wadsworthia 3_1_6; Marvinbryantiarmatexigens I-52; Butyrivibrio crossotus DSM 2876; Catenibacterium mitsuokai DSM 15897; Cedecea davisae 005, DSM 4568; Cetobacteriummerae ATCC BAA-474; Citrobacter. 30_2; Citrobacter youngae ATCC 29220; Clostridium asparagiforme DSM 15981; Clostridium bartlettii DSM 16795; Clostridiumlatum DSM 1785; Clostridium difficile NAP07; Clostridium difficile NAP08; Desulfitobacterium hafniense DP7; Desulfovibrio piger ATCC 29098; Parabacteroides johnsonii DSM 18315; Parabacteroides. D13; Prevotella copri CB7, DSM 18205; Roseburia intestinalis L1-82; Blautia hansenii VPI C7-24, DSM 20583; Bifidobacterium angulatum JCM 7096; Bifidobacterium bifidum JCM 1255; Ruminococcus bromii L2-63; Parabacteroides. D25; Parabacteroides. D26; Phascolarctobacterium. 3_1syn4; Phascolarctobacterium. YIT 12067; Odoribacter laneus YIT 12061; Collinsella tanakaei YIT 12063; Collinsella. 1_1_44A2FAA; Collinsella. 4_8_47FAA; Lactobacillus rhamnosus GG; Bacteroides uniformis ATCC 8492; Eubacterium siraeum DSM 15702","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Gut (Intestinal microflora)"
